,variables_modelo,Coefficients,var_origen,Score - Calculation,Score - Final
0,(intercept),3.9011181756274915,(intercept),773.165342979541,773.0
1,target_time,-1.6660757770185415,target_time,-170.63048596941235,-171.0
2,pub_rec,0.19766422197018313,pub_rec,20.243702428645776,20.0
3,home_ownership:NONE,-0.48969240161329997,home_ownership,-50.15165193286172,-50.0
4,home_ownership:OTHER,-0.8097352007686572,home_ownership,-82.92870751709997,-83.0
5,home_ownership:OWN,-0.08203895775320445,home_ownership,-8.401987126241966,-8.0
6,home_ownership:RENT,-0.2508214716619864,home_ownership,-25.68778094705571,-26.0
7,emp_length:10+ years,0.07500429233949663,emp_length,7.681534674600671,8.0
8,emp_length:2 years,-0.0011793084431382305,emp_length,-0.12077840368137588,-0.0
9,emp_length:3 years,-0.0033874738267983366,emp_length,-0.3469267804310876,-0.0
10,emp_length:4 years,0.023230652262538863,emp_length,2.379157982860057,2.0
11,emp_length:5 years,-0.05577285605366691,emp_length,-5.7119548003808225,-6.0
12,emp_length:6 years,-0.09558934572528288,emp_length,-9.789744704043958,-10.0
13,emp_length:7 years,-0.01928071073981584,emp_length,-1.974626297765226,-2.0
14,emp_length:8 years,-0.03751780759127574,emp_length,-3.8423712955374443,-4.0
15,emp_length:9 years,-0.06077743479545193,emp_length,-6.224496735484815,-6.0
16,emp_length:< 1 year,-0.06565151623653749,emp_length,-6.723673841603719,-7.0
17,"loan_amnt:(9500.0, 18000.0]",-0.16658488538817157,loan_amnt,-17.060724572689256,-17.0
18,"loan_amnt:(18000.0, 26500.0]",-0.18887448752663316,loan_amnt,-19.343505282553828,-19.0
19,"loan_amnt:(26500.0, 35000.0]",-0.0958491813023515,loan_amnt,-9.81635566099977,-10.0
20,"int_rate:(11.015, 16.03]",-0.886624875037799,int_rate,-90.80333282979213,-91.0
21,"int_rate:(16.03, 21.045]",-1.4771573773630575,int_rate,-151.28248344370243,-151.0
22,"int_rate:(21.045, 26.06]",-1.8598217208561372,int_rate,-190.47289950643093,-190.0
23,"open_acc:(42.0, 84.0]",0.47756295909925256,open_acc,48.909419917212574,49.0
