"","modelo_logistico.coefficients"
"(Intercept)",4.74787463861041
"target_time",-1.65652929357254
"pub_rec",0.195321942626614
"loan_amnt",-2.65919126322496e-06
"int_rate",-0.126775196867817
"open_acc",-0.00626295156342031
"home_ownershipNONE",-0.597150996737189
"home_ownershipOTHER",-1.017414086161
"home_ownershipOWN",-0.0748354197407288
"home_ownershipRENT",-0.251530638917793
"emp_length1 year",0.0655533122918958
"emp_length10+ years",0.136819515206213
"emp_length2 years",0.0600992011430133
"emp_length3 years",0.0572878170684231
"emp_length4 years",0.079333611156897
"emp_length5 years",0.00590763653370554
"emp_length6 years",-0.0347875018789914
"emp_length7 years",0.0400424699349818
"emp_length8 years",0.0206565290902314
"emp_length9 years",-0.00390540061721873
